순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
275,REST,[해외주식] 시세분석,해외주식 시가총액순위,해외주식-047,HHDFS76350100,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/market-cap,https://openapi.koreainvestment.com:9443,미지원
276,REST,[해외주식] 시세분석,해외속보(제목),해외주식-055,FHKST01011801,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/brknews-title,https://openapi.koreainvestment.com:9443,미지원
277,REST,[해외주식] 시세분석,해외주식 상승율/하락율,해외주식-041,HHDFS76290000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/updown-rate,https://openapi.koreainvestment.com:9443,미지원
278,REST,[해외주식] 시세분석,해외주식 권리종합,해외주식-050,HHDFS78330900,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/rights-by-ice,https://openapi.koreainvestment.com:9443,미지원
279,REST,[해외주식] 시세분석,해외주식 거래량순위,해외주식-043,HHDFS76310010,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-vol,https://openapi.koreainvestment.com:9443,미지원
280,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간호가,실시간-021,HDFSASP0,모의투자 미지원,POST,/tryitout/HDFSASP0,ws://ops.koreainvestment.com:21000,모의투자 미지원
281,WEBSOCKET,[해외주식] 실시간시세,해외주식 지연호가(아시아),실시간-008,HDFSASP1,모의투자 미지원,POST,/tryitout/HDFSASP1,ws://ops.koreainvestment.com:21000,제공 안함
282,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간지연체결가,실시간-007,HDFSCNT0,모의투자 미지원,POST,/tryitout/HDFSCNT0,ws://ops.koreainvestment.com:21000,모의투자 미지원
283,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간체결통보,실시간-009,H0GSCNI0,H0GSCNI9,POST,/tryitout/H0GSCNI0,ws://ops.koreainvestment.com:21000,ws://ops.koreainvestment.com:31000
284,REST,[해외선물옵션] 주문/계좌,해외선물옵션 주문,v1_해외선물-001,OTFM3001U ,모의투자 미지원,POST,/uapi/overseas-futureoption/v1/trading/order,https://openapi.koreainvestment.com:9443,모의투자 미지원
285,REST,[해외선물옵션] 주문/계좌,해외선물옵션 정정취소주문,"v1_해외선물-002, 003",(정정) OTFM3002U (취소) OTFM3003U,모의투자 미지원,POST,/uapi/overseas-futureoption/v1/trading/order-rvsecncl,https://openapi.koreainvestment.com:9443,모의투자 미지원
286,REST,[해외선물옵션] 주문/계좌,해외선물옵션 당일주문내역조회,v1_해외선물-004,OTFM3116R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-ccld,https://openapi.koreainvestment.com:9443,모의투자 미지원
287,REST,[해외선물옵션] 주문/계좌,해외선물옵션 미결제내역조회(잔고),v1_해외선물-005,OTFM1412R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-unpd,https://openapi.koreainvestment.com:9443,모의투자 미지원
288,REST,[해외선물옵션] 주문/계좌,해외선물옵션 주문가능조회,v1_해외선물-006,OTFM3304R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-psamount,https://openapi.koreainvestment.com:9443,모의투자 미지원
289,REST,[해외선물옵션] 주문/계좌,해외선물옵션 기간계좌손익 일별,해외선물-010,OTFM3118R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-period-ccld,https://openapi.koreainvestment.com:9443,모의투자 미지원
290,REST,[해외선물옵션] 주문/계좌,해외선물옵션 일별 체결내역,해외선물-011,OTFM3122R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-daily-ccld,https://openapi.koreainvestment.com:9443,모의투자 미지원
291,REST,[해외선물옵션] 주문/계좌,해외선물옵션 예수금현황,해외선물-012,OTFM1411R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-deposit,https://openapi.koreainvestment.com:9443,모의투자 미지원
292,REST,[해외선물옵션] 주문/계좌,해외선물옵션 일별 주문내역,해외선물-013,OTFM3120R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-daily-order,https://openapi.koreainvestment.com:9443,모의투자 미지원
293,REST,[해외선물옵션] 주문/계좌,해외선물옵션 기간계좌거래내역,해외선물-014,OTFM3114R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/inquire-period-trans,https://openapi.koreainvestment.com:9443,모의투자 미지원
294,REST,[해외선물옵션] 주문/계좌,해외선물옵션 증거금상세,해외선물-032,OTFM3115R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/trading/margin-detail,https://openapi.koreainvestment.com:9443,미지원
295,REST,[해외선물옵션] 기본시세,해외선물종목현재가,v1_해외선물-009,HHDFC55010000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/inquire-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
296,REST,[해외선물옵션] 기본시세,해외선물종목상세,v1_해외선물-008,HHDFC55010100,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/stock-detail,https://openapi.koreainvestment.com:9443,모의투자 미지원
297,REST,[해외선물옵션] 기본시세,해외선물 호가,해외선물-031,HHDFC86000000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/inquire-asking-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
298,REST,[해외선물옵션] 기본시세,해외선물 분봉조회,해외선물-016,HHDFC55020400,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/inquire-time-futurechartprice,https://openapi.koreainvestment.com:9443,모의투자 미지원
299,REST,[해외선물옵션] 기본시세,해외선물 체결추이(틱),해외선물-019,HHDFC55020200,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/tick-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
300,REST,[해외선물옵션] 기본시세,해외선물 체결추이(주간),해외선물-017,HHDFC55020000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/weekly-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
301,REST,[해외선물옵션] 기본시세,해외선물 체결추이(일간),해외선물-018,HHDFC55020100,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/daily-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
302,REST,[해외선물옵션] 기본시세,해외선물 체결추이(월간),해외선물-020,HHDFC55020300,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/monthly-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
303,REST,[해외선물옵션] 기본시세,해외선물 상품기본정보,해외선물-023,HHDFC55200000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/search-contract-detail,https://openapi.koreainvestment.com:9443,모의투자 미지원
304,REST,[해외선물옵션] 기본시세,해외선물 미결제추이,해외선물-029,HHDDB95030000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/investor-unpd-trend,https://openapi.koreainvestment.com:9443,모의투자 미지원
305,REST,[해외선물옵션] 기본시세,해외옵션종목현재가,해외선물-035,HHDFO55010000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
306,REST,[해외선물옵션] 기본시세,해외옵션종목상세,해외선물-034,HHDFO55010100,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-detail,https://openapi.koreainvestment.com:9443,모의투자 미지원
307,REST,[해외선물옵션] 기본시세,해외옵션 호가,해외선물-033,HHDFO86000000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-asking-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
308,REST,[해외선물옵션] 기본시세,해외옵션 분봉조회,해외선물-040,HHDFO55020400,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/inquire-time-optchartprice,https://openapi.koreainvestment.com:9443,모의투자 미지원
309,REST,[해외선물옵션] 기본시세,해외옵션 체결추이(틱),해외선물-038,HHDFO55020200,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-tick-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
310,REST,[해외선물옵션] 기본시세,해외옵션 체결추이(일간),해외선물-037,HHDFO55020100,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-daily-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
311,REST,[해외선물옵션] 기본시세,해외옵션 체결추이(주간),해외선물-036,HHDFO55020000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-weekly-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
312,REST,[해외선물옵션] 기본시세,해외옵션 체결추이(월간),해외선물-039,HHDFO55020300,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/opt-monthly-ccnl,https://openapi.koreainvestment.com:9443,모의투자 미지원
313,REST,[해외선물옵션] 기본시세,해외옵션 상품기본정보,해외선물-041,HHDFO55200000,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/search-opt-detail,https://openapi.koreainvestment.com:9443,모의투자 미지원
314,REST,[해외선물옵션] 기본시세,해외선물옵션 장운영시간,해외선물-030,OTFM2229R,모의투자 미지원,GET,/uapi/overseas-futureoption/v1/quotations/market-time,https://openapi.koreainvestment.com:9443,모의투자 미지원
315,WEBSOCKET,[해외선물옵션]실시간시세,해외선물옵션 실시간체결가,실시간-017,HDFFF020,모의투자 미지원,POST,/tryitout/HDFFF020,ws://ops.koreainvestment.com:21000,모의투자 미지원
316,WEBSOCKET,[해외선물옵션]실시간시세,해외선물옵션 실시간호가,실시간-018,HDFFF010,모의투자 미지원,POST,/tryitout/HDFFF010,ws://ops.koreainvestment.com:21000,모의투자 미지원
317,WEBSOCKET,[해외선물옵션]실시간시세,해외선물옵션 실시간주문내역통보,실시간-019,HDFFF1C0,모의투자 미지원,POST,/tryitout/HDFFF1C0,ws://ops.koreainvestment.com:21000,모의투자 미지원
